id,scientific_name,locality_name,longitude,latitude,coordinate_precision,source_citation,distance_to_land_km
987,Ptychochromis oligacanthus,"Large bay lake behind dunes, about 100 meters from sea, 1 kilometer south of turnoff from Maralambo-Mananjary Road, east of road",48.830000,-19.920000,exact,GBIF: USNM USNM 301516,0.783
988,Ptychochromis oligacanthus,"TAMATAVE PROVINCE, BAY LAKE BEHIND FIRST DUNE ca. 100 m FROM SEA, EAST OF ROAD BY SALEHY VILLAGE, 1 km SOUTH OF TURNOFF FROM MAROLAMBO-MANANJARY ROAD",48.833333,-19.916667,exact,GBIF: FishBase AMNH 97117,0.957
990,Ptychochromis oligacanthus,"VATOMANDRY, ON WAY TO MARALAMBO",49.000000,-19.333333,exact,GBIF: FishBase AMNH 88076,1.390
997,Ptychochromis oligacanthus,"NOSY BE, LAKE AMPARIHIBE, SMALL STREAM MOUTH FROM LAKE ANTSIDIHY",50.983333,-14.800000,exact,GBIF: FishBase AMNH 58491,70.376
1024,Ptychochromis onilahy,Onilahy River area (approx),43.520000,-23.330000,approximate,Stiassny & Sparks 2006,10.098
1092,Sauvagella madagascariensis,"Large bay lake behind dunes, about 100 meters from sea, 1 kilometer south of turnoff from Maralambo-Mananjary Road, east of road",48.830000,-19.920000,exact,GBIF: USNM USNM 301518,0.783
1093,Sauvagella madagascariensis,"TAMATAVE PROVINCE, MOUTH OF RIVER MANGORO NEAR SALEHY VILLAGE",48.833333,-19.916667,exact,GBIF: FishBase AMNH 96993,0.957
1106,Teramulus kieneri,"Madagascar Republic, 7 km north of Mananjary in the Pangalanes, 100m upstream from 88-25 freshwater channel",48.450000,-21.066667,exact,GBIF: NHMUK 1989.11.16.1-4,3.093
1107,Teramulus kieneri,"TAMATAVE PROVINCE, ESTUARY OF RIVER MANGORO, NEAR MOUTH",48.833333,-19.916667,exact,GBIF: FishBase AMNH 97001,0.957
1127,Typhleotris madagascariensis,"GBIF record at -24.150, 43.658",43.657673,-24.150245,exact,GBIF: iNaturalist 20268658,0.951
1129,Typhleotris madagascariensis,"GBIF record at -24.137, 43.618",43.617849,-24.136971,exact,GBIF: iNaturalist 320077630,5.057
1133,Typhleotris madagascariensis,"GBIF record at -24.121, 43.616",43.615713,-24.120908,exact,GBIF: iNaturalist 64105290,5.358
1141,Typhleotris madagascariensis,"GBIF record at -24.057, 43.638",43.638114,-24.056913,exact,GBIF: iNaturalist 248400547,3.275
